"id","part_of_speech","definition","answer"
"1","pron.","I","ich"
"2","verb","be","sein"
"3","adv.","not","nicht"
"4","pron.","she","sie"
"5","pron.","you","du"
"6","pron.","it","es"
"7","conj.","and","und"
"8","prep.","to (direction)","zu"
"9","prep.","in","in"
"10","pron.","we","wir"
"11","prep.","with","mit"
"12","pron.","what","was"
"13","conj.","that","dass"
"14","pron.","he","er"
"15","verb","have","haben"
"16","adv.","in that way","so"
"17","prep.","from","von"
"18","prep.","for","für"
"19","adv.","here in this area","hier"
"20","prep.","on","an"
"21","adv.","how","wie"
"22","adv.","still (yet)","noch"
"23","adv.","solely","nur"
"24","adv.","as well","auch"
"25","pron.","you (plural)","ihr"
"26","adv.","at that place","da"
"27","prep.","out","aus"
"28","verb","can","können"
"29","conj.","but","aber"
"30","adv.","already happened","schon"
"31","conj.","if/when","wenn"
"32","verb","become","werden"
"33","prep.","around","um"
"34","conj.","as","als"
"35","adv.","times","mal"
"36","adv.","yet","doch"
"37","adj.","good","gut"
"38","adv.","at present","jetzt"
"39","verb","know","wissen"
"40","prep.","to (destination)","nach"
"41","adv.","yes","ja"
"42","conj.","or","oder"
"43","adv.","then","dann"
"44","verb","want","wollen"
"45","pron.","my","mein"
"46","adv.","more","mehr"
"47","pron.","something","etwas"
"48","verb","must","müssen"
"49","adv.","always","immer"
"50","pron.","one (an indefinite person)","man"
"51","adv.","once again","wieder"
"52","prep.","at","bei"
"53","verb","make","machen"
"54","prep.","before","vor"
"55","noun","the man","der Mann"
"56","verb","do","tun"
"57","verb","say","sagen"
"58","conj.","because","denn"
"59","pron.","one (a person)","einer"
"60","verb","go","gehen"
"61","verb","see","sehen"
"62","adv.","very","sehr"
"63","pron.","all","all"
"64","prep.","over","über"
"65","adv.","simply","einfach"
"66","adv.","never at any time","nie"
"67","adv.","so","also"
"68","adv.","where","wo"
"69","adj.","loose","los"
"70","noun","the time","die Zeit"
"71","verb","give","geben"
"72","adv.","really","wirklich"
"73","verb","should","sollen"
"74","adv.","please","bitte"
"75","adv.","much","viel"
"76","verb","come","kommen"
"77","pron.","who","wer"
"78","noun","the woman","die Frau"
"79","noun","the life","das Leben"
"80","conj.","so that","damit"
"81","noun","the god","der Gott"
"82","noun","the people","die Leute"
"83","adv.","today","heute"
"84","pron.","your (one person)","dein"
"85","adj.","safe","sicher"
"86","adv.","quite complete","ganz"
"87","conj.","because of something","weil"
"88","prep.","until","bis"
"89","adv.","perhaps","vielleicht"
"90","adv.","away from home","weg"
"91","verb","let","lassen"
"92","noun","the father","der Vater"
"93","adv.","now","nun"
"94","adv.","right now","gerade"
"95","verb","believe","glauben"
"96","noun","the day","der Tag"
"97","prep.","off","ab"
"98","noun","the money","das Geld"
"99","prep.","through","durch"
"100","verb","happen","passieren"
"101","adv.","likely","wohl"
"102","noun","the mother","die Mutter"
"103","verb","talk","reden"
"104","verb","think","denken"
"105","verb","would like to","möchten"
"106","verb","hear","hören"
"107","adv.","out","raus"
